event_id,timestamp,density_estimate,expected_crowd_size,GateA,GateB,GateC,GateD,Food Court,SectionA,SectionB,SectionC,SectionD,Toilet,recommendations,risk_level,scenario_type,status
E033,2025-09-19T18:43:00Z,405,3902,Closed,Closed,Closed,Closed,796,789,797,762,784,744,Deploy staff to Food Court,Low,EmergencyEvacuation,Simulated
E034,2025-09-19T23:00:00Z,395,4082,Closed,Closed,Closed,Open,846,777,815,861,775,832,Deploy staff to Food Court,Low,NormalFlow,Simulated
E035,2025-09-19T18:14:00Z,316,3876,Closed,Open,Open,Open,807,765,790,884,711,769,Deploy staff to Food Court,Low,FoodCourtRush,Simulated
E036,2025-09-19T21:50:00Z,79,597,Closed,Open,Closed,Open,118,119,118,98,82,127,Deploy staff to Food Court,Low,EmergencyEvacuation,Simulated
E037,2025-09-19T20:26:00Z,59,1560,Closed,Closed,Open,Open,403,251,363,362,389,325,Deploy staff to Food Court,Low,HalfTimeExit,Simulated
E038,2025-09-19T21:24:00Z,355,3392,Closed,Open,Open,Closed,698,771,679,663,763,670,Deploy staff to Food Court,Low,NormalFlow,Simulated
E039,2025-09-19T23:25:00Z,343,3948,Open,Closed,Closed,Closed,797,728,808,818,745,725,Deploy staff to Food Court,Low,ExitFlow,Simulated
E040,2025-09-19T18:20:00Z,50,635,Open,Closed,Open,Closed,73,68,114,202,152,146,Monitor flow,Low,HalfTimeExit,Simulated
E041,2025-09-19T23:37:00Z,359,3992,Open,Closed,Open,Closed,737,788,764,872,677,781,Deploy staff to Food Court,Low,ExitFlow,Simulated
E042,2025-09-20T00:00:00Z,50,513,Closed,Open,Open,Closed,58,148,79,178,59,105,Monitor flow,Low,HalfTimeExit,Simulated
E043,2025-09-19T19:11:00Z,192,1767,Closed,Open,Closed,Open,310,389,366,276,334,338,Deploy staff to Food Court,Low,EntryRush,Simulated
E044,2025-09-19T18:19:00Z,274,3800,Open,Open,Closed,Open,750,814,666,694,815,781,Deploy staff to Food Court,Low,FoodCourtRush,Simulated
E045,2025-09-19T23:21:00Z,50,767,Open,Open,Closed,Open,168,97,139,261,159,114,Deploy staff to Food Court,Low,HalfTimeExit,Simulated
E046,2025-09-19T22:05:00Z,218,2034,Open,Closed,Closed,Closed,404,404,379,355,418,412,Deploy staff to Food Court,Low,FoodCourtRush,Simulated
E047,2025-09-19T19:29:00Z,125,693,Closed,Open,Closed,Closed,142,136,181,136,154,154,Deploy staff to Food Court,Low,EmergencyEvacuation,Simulated
E048,2025-09-19T20:19:00Z,290,2988,Open,Open,Open,Closed,608,582,559,569,549,677,Deploy staff to Food Court,Low,HalfTimeExit,Simulated
E049,2025-09-19T21:16:00Z,50,663,Closed,Closed,Open,Closed,86,57,180,199,122,91,Monitor flow,Low,HalfTimeExit,Simulated
E050,2025-09-19T22:00:00Z,402,4296,Closed,Closed,Open,Open,834,799,829,885,901,862,Deploy staff to Food Court,Low,EmergencyEvacuation,Simulated
E051,2025-09-19T21:20:00Z,50,573,Closed,Closed,Open,Open,107,80,96,109,80,189,Deploy staff to Food Court,Low,FoodCourtRush,Simulated
E052,2025-09-19T23:51:00Z,197,2309,Closed,Open,Closed,Open,431,403,408,426,511,381,Deploy staff to Food Court,Low,EmergencyEvacuation,Simulated
E053,2025-09-19T23:21:00Z,397,4346,Closed,Open,Open,Closed,905,827,807,920,860,800,Deploy staff to Food Court,Low,NormalFlow,Simulated
E054,2025-09-19T18:03:00Z,303,2374,Open,Open,Closed,Open,527,500,467,571,501,397,Deploy staff to Food Court,Low,FoodCourtRush,Simulated
E055,2025-09-19T18:24:00Z,81,779,Closed,Open,Open,Open,201,124,178,106,171,216,Deploy staff to Food Court,Low,EmergencyEvacuation,Simulated
E056,2025-09-19T19:58:00Z,280,3567,Open,Closed,Closed,Closed,683,685,771,696,759,721,Deploy staff to Food Court,Low,NormalFlow,Simulated
E057,2025-09-19T22:28:00Z,430,4514,Open,Open,Open,Open,965,935,936,901,956,939,Deploy staff to Food Court,Low,EntryRush,Simulated
E058,2025-09-19T19:09:00Z,390,4590,Closed,Closed,Closed,Closed,878,966,864,905,831,941,Deploy staff to Food Court,Low,ExitFlow,Simulated
E059,2025-09-19T20:23:00Z,51,1152,Open,Closed,Closed,Open,212,133,270,244,209,236,Deploy staff to Food Court,Low,EmergencyEvacuation,Simulated
E060,2025-09-19T23:12:00Z,73,1483,Open,Closed,Closed,Closed,250,298,287,275,269,295,Deploy staff to Food Court,Low,FoodCourtRush,Simulated
E061,2025-09-19T21:02:00Z,500,4704,Open,Open,Closed,Closed,978,1037,976,936,844,999,Deploy staff to Food Court,Low,HalfTimeExit,Simulated
E062,2025-09-19T21:55:00Z,68,1171,Closed,Closed,Closed,Closed,236,265,207,235,156,228,Deploy staff to Food Court,Low,EmergencyEvacuation,Simulated
E063,2025-09-19T19:28:00Z,357,4304,Closed,Open,Closed,Closed,785,823,899,810,844,797,Deploy staff to Food Court,Low,EmergencyEvacuation,Simulated
E064,2025-09-19T19:00:00Z,149,1758,Closed,Open,Open,Open,295,392,380,392,401,407,Deploy staff to Food Court,Low,NormalFlow,Simulated
E065,2025-09-19T22:42:00Z,287,2699,Closed,Closed,Open,Closed,582,500,554,545,538,561,Deploy staff to Food Court,Low,EntryRush,Simulated
E066,2025-09-19T22:36:00Z,283,1511,Closed,Closed,Closed,Open,286,248,405,185,288,346,Deploy staff to Food Court,Low,FoodCourtRush,Simulated
E067,2025-09-19T23:05:00Z,391,3205,Closed,Closed,Closed,Closed,653,595,669,570,648,612,Deploy staff to Food Court,Low,ExitFlow,Simulated
E068,2025-09-19T20:26:00Z,168,1177,Closed,Closed,Closed,Open,217,191,291,211,215,235,Deploy staff to Food Court,Low,EntryRush,Simulated
E069,2025-09-19T23:16:00Z,52,671,Closed,Open,Closed,Closed,131,164,154,77,155,104,Deploy staff to Food Court,Low,NormalFlow,Simulated
E070,2025-09-19T22:49:00Z,206,2497,Closed,Open,Open,Closed,481,499,577,448,521,572,Deploy staff to Food Court,Low,NormalFlow,Simulated
E071,2025-09-19T18:24:00Z,303,2586,Open,Closed,Open,Closed,518,583,491,584,587,551,Deploy staff to Food Court,Low,ExitFlow,Simulated
E072,2025-09-19T22:25:00Z,282,2360,Open,Closed,Open,Closed,538,492,498,459,336,493,Deploy staff to Food Court,Low,ExitFlow,Simulated
E073,2025-09-19T21:55:00Z,81,1471,Closed,Open,Open,Closed,297,276,225,364,285,244,Deploy staff to Food Court,Low,HalfTimeExit,Simulated
E074,2025-09-19T21:15:00Z,264,3078,Open,Open,Closed,Closed,667,623,587,578,576,579,Deploy staff to Food Court,Low,EmergencyEvacuation,Simulated
E075,2025-09-19T22:59:00Z,87,1145,Closed,Open,Open,Closed,158,213,284,223,246,173,Monitor flow,Low,NormalFlow,Simulated
E076,2025-09-19T22:55:00Z,156,1669,Open,Closed,Closed,Open,315,348,343,328,342,406,Deploy staff to Food Court,Low,EmergencyEvacuation,Simulated
E077,2025-09-19T18:38:00Z,214,2484,Closed,Open,Open,Closed,565,482,441,568,436,568,Deploy staff to Food Court,Low,HalfTimeExit,Simulated
E078,2025-09-19T21:43:00Z,192,1903,Open,Open,Open,Open,431,375,282,377,414,344,Deploy staff to Food Court,Low,ExitFlow,Simulated
E079,2025-09-19T20:45:00Z,74,539,Open,Closed,Open,Closed,113,158,167,75,163,137,Deploy staff to Food Court,Low,EntryRush,Simulated
E080,2025-09-19T22:06:00Z,112,1110,Closed,Closed,Closed,Open,163,201,143,161,188,263,Monitor flow,Low,FoodCourtRush,Simulated
E081,2025-09-19T23:03:00Z,247,3033,Closed,Closed,Closed,Open,599,539,660,504,621,559,Deploy staff to Food Court,Low,ExitFlow,Simulated
E082,2025-09-19T23:09:00Z,251,1829,Closed,Open,Closed,Closed,349,261,402,308,314,349,Deploy staff to Food Court,Low,EmergencyEvacuation,Simulated
E083,2025-09-19T22:19:00Z,327,3597,Closed,Closed,Closed,Closed,713,771,652,715,669,768,Deploy staff to Food Court,Low,HalfTimeExit,Simulated
E084,2025-09-19T22:04:00Z,311,3273,Closed,Open,Open,Closed,683,636,623,674,566,611,Deploy staff to Food Court,Low,FoodCourtRush,Simulated
E085,2025-09-19T23:20:00Z,117,1657,Closed,Open,Closed,Open,353,328,386,404,308,276,Deploy staff to Food Court,Low,NormalFlow,Simulated
E086,2025-09-19T20:32:00Z,175,1485,Closed,Closed,Closed,Closed,330,256,286,358,291,276,Deploy staff to Food Court,Low,NormalFlow,Simulated
E087,2025-09-19T20:40:00Z,309,3209,Closed,Closed,Closed,Closed,557,692,682,639,610,664,Deploy staff to Food Court,Low,EntryRush,Simulated
E088,2025-09-19T18:11:00Z,316,2606,Closed,Closed,Open,Closed,566,476,457,514,535,609,Deploy staff to Food Court,Low,ExitFlow,Simulated
E089,2025-09-19T19:45:00Z,354,3439,Open,Closed,Closed,Open,660,659,610,782,690,650,Deploy staff to Food Court,Low,EntryRush,Simulated
E090,2025-09-19T20:56:00Z,174,3038,Closed,Closed,Closed,Closed,659,609,651,624,605,596,Deploy staff to Food Court,Low,EmergencyEvacuation,Simulated
E091,2025-09-19T18:52:00Z,316,2837,Closed,Closed,Closed,Closed,579,565,563,532,563,583,Deploy staff to Food Court,Low,NormalFlow,Simulated
E092,2025-09-19T22:45:00Z,374,3689,Closed,Closed,Open,Open,750,720,760,714,768,679,Deploy staff to Food Court,Low,NormalFlow,Simulated
E093,2025-09-19T20:15:00Z,357,4811,Closed,Closed,Closed,Open,905,936,933,931,844,922,Deploy staff to Food Court,Low,NormalFlow,Simulated
E094,2025-09-19T19:31:00Z,271,2303,Open,Open,Closed,Open,415,341,532,479,531,470,Deploy staff to Food Court,Low,FoodCourtRush,Simulated
E095,2025-09-19T18:50:00Z,250,2449,Closed,Open,Closed,Closed,487,417,501,526,409,487,Deploy staff to Food Court,Low,HalfTimeExit,Simulated
E096,2025-09-19T20:14:00Z,126,1639,Open,Closed,Open,Closed,252,316,290,350,368,389,Deploy staff to Food Court,Low,ExitFlow,Simulated
E097,2025-09-19T20:52:00Z,181,2055,Open,Closed,Open,Open,385,402,379,335,437,416,Deploy staff to Food Court,Low,ExitFlow,Simulated
E098,2025-09-19T23:25:00Z,356,3801,Open,Closed,Open,Closed,804,842,718,711,747,774,Deploy staff to Food Court,Low,HalfTimeExit,Simulated
E099,2025-09-19T21:39:00Z,222,1534,Closed,Closed,Open,Closed,329,360,282,254,320,302,Deploy staff to Food Court,Low,EntryRush,Simulated
E100,2025-09-19T18:10:00Z,468,4029,Open,Open,Open,Closed,928,862,763,886,728,828,Deploy staff to Food Court,Low,NormalFlow,Simulated
E101,2025-09-19T22:54:00Z,372,3603,Closed,Open,Open,Closed,775,706,637,747,693,804,Deploy staff to Food Court,Low,FoodCourtRush,Simulated
E102,2025-09-19T21:40:00Z,378,2925,Closed,Closed,Open,Open,555,720,678,581,559,642,Deploy staff to Food Court,Low,FoodCourtRush,Simulated
E103,2025-09-19T19:16:00Z,73,1344,Closed,Closed,Open,Open,284,244,286,236,286,322,Deploy staff to Food Court,Low,ExitFlow,Simulated
E104,2025-09-19T19:07:00Z,72,729,Closed,Open,Open,Open,126,63,113,145,82,6,Deploy staff to Food Court,Low,NormalFlow,Simulated
E105,2025-09-19T22:28:00Z,311,1401,Open,Open,Closed,Open,203,280,274,287,353,259,Monitor flow,Medium,NormalFlow,Simulated
E106,2025-09-19T18:32:00Z,141,1679,Closed,Open,Closed,Open,258,333,306,365,314,397,Deploy staff to Food Court,Low,ExitFlow,Simulated
E107,2025-09-19T23:47:00Z,440,4007,Closed,Open,Closed,Closed,727,814,825,694,786,789,Deploy staff to Food Court,Low,ExitFlow,Simulated
E108,2025-09-19T20:44:00Z,445,4224,Closed,Open,Open,Closed,826,810,910,781,884,829,Deploy staff to Food Court,Low,NormalFlow,Simulated
E109,2025-09-19T21:47:00Z,378,4256,Closed,Closed,Open,Closed,835,834,815,836,837,864,Deploy staff to Food Court,Low,EntryRush,Simulated
E110,2025-09-19T23:25:00Z,149,1313,Open,Open,Open,Open,186,251,205,278,258,242,Monitor flow,Low,FoodCourtRush,Simulated
E111,2025-09-19T18:00:00Z,351,2988,Closed,Closed,Closed,Open,555,575,588,648,540,622,Deploy staff to Food Court,Low,ExitFlow,Simulated
E112,2025-09-19T18:36:00Z,418,4357,Open,Closed,Closed,Open,921,822,922,875,878,830,Deploy staff to Food Court,Low,NormalFlow,Simulated
E113,2025-09-19T18:43:00Z,372,4201,Closed,Closed,Closed,Closed,886,764,810,874,824,815,Deploy staff to Food Court,Low,HalfTimeExit,Simulated
E114,2025-09-19T21:16:00Z,366,3810,Open,Open,Open,Open,755,821,695,765,686,749,Deploy staff to Food Court,Low,HalfTimeExit,Simulated
E115,2025-09-19T19:28:00Z,63,681,Open,Closed,Open,Closed,172,180,99,103,197,72,Deploy staff to Food Court,Low,FoodCourtRush,Simulated
E116,2025-09-19T22:34:00Z,124,781,Closed,Closed,Open,Closed,185,177,240,114,221,178,Deploy staff to Food Court,Low,EmergencyEvacuation,Simulated
E117,2025-09-19T20:43:00Z,160,1065,Closed,Open,Open,Open,189,299,136,148,224,218,Deploy staff to Food Court,Low,EmergencyEvacuation,Simulated
E118,2025-09-19T19:08:00Z,311,3283,Closed,Closed,Closed,Open,665,667,593,676,657,739,Deploy staff to Food Court,Low,HalfTimeExit,Simulated
E119,2025-09-19T18:41:00Z,491,4402,Open,Closed,Open,Closed,934,926,895,813,892,918,Deploy staff to Food Court,Low,FoodCourtRush,Simulated
E120,2025-09-19T20:18:00Z,387,4044,Closed,Open,Closed,Open,847,804,792,736,833,887,Deploy staff to Food Court,Low,EntryRush,Simulated
E121,2025-09-20T00:00:00Z,90,1234,Closed,Closed,Closed,Closed,235,179,260,360,304,285,Deploy staff to Food Court,Low,FoodCourtRush,Simulated
E122,2025-09-19T20:57:00Z,293,3761,Closed,Closed,Open,Open,696,860,754,852,804,716,Deploy staff to Food Court,Low,ExitFlow,Simulated
E123,2025-09-19T23:24:00Z,488,4666,Open,Open,Open,Open,944,924,947,945,903,990,Deploy staff to Food Court,Low,FoodCourtRush,Simulated
E124,2025-09-19T20:26:00Z,316,4431,Open,Closed,Open,Closed,992,885,913,900,924,953,Deploy staff to Food Court,Low,ExitFlow,Simulated
E125,2025-09-19T18:50:00Z,289,2657,Closed,Open,Open,Closed,513,593,544,634,481,491,Deploy staff to Food Court,Low,EntryRush,Simulated
E126,2025-09-19T19:21:00Z,237,2499,Closed,Open,Closed,Open,507,563,547,540,549,562,Deploy staff to Food Court,Low,HalfTimeExit,Simulated
E127,2025-09-20T00:00:00Z,497,4635,Closed,Closed,Closed,Closed,890,878,950,979,870,995,Deploy staff to Food Court,Low,EntryRush,Simulated
E128,2025-09-19T19:55:00Z,139,1263,Open,Open,Open,Open,205,181,285,232,230,276,Deploy staff to Food Court,Low,HalfTimeExit,Simulated
E129,2025-09-19T21:33:00Z,50,588,Closed,Open,Closed,Open,214,81,54,146,59,116,Deploy staff to Food Court,Low,NormalFlow,Simulated
E130,2025-09-19T21:32:00Z,334,3079,Closed,Open,Closed,Open,614,698,667,626,705,676,Deploy staff to Food Court,Low,NormalFlow,Simulated
E131,2025-09-19T19:44:00Z,544,4677,Closed,Closed,Open,Open,941,856,923,872,916,922,Deploy staff to Food Court,Low,NormalFlow,Simulated
E132,2025-09-19T22:49:00Z,98,1415,Closed,Open,Closed,Closed,265,240,250,320,300,366,Deploy staff to Food Court,Low,FoodCourtRush,Simulated
E133,2025-09-19T19:57:00Z,456,4455,Open,Open,Open,Open,861,916,922,827,838,966,Deploy staff to Food Court,Low,HalfTimeExit,Simulated
E134,2025-09-19T21:46:00Z,157,1613,Open,Closed,Open,Open,267,334,270,229,358,325,Deploy staff to Food Court,Low,NormalFlow,Simulated
E135,2025-09-19T20:37:00Z,314,3160,Closed,Closed,Closed,Closed,644,562,677,569,595,672,Deploy staff to Food Court,Low,FoodCourtRush,Simulated
E136,2025-09-19T21:28:00Z,368,3741,Open,Open,Closed,Closed,799,781,687,754,763,804,Deploy staff to Food Court,Low,ExitFlow,Simulated
E137,2025-09-19T19:18:00Z,104,2209,Closed,Closed,Closed,Closed,529,386,416,408,367,401,Deploy staff to Food Court,Low,ExitFlow,Simulated
E138,2025-09-19T18:53:00Z,343,3321,Open,Open,Open,Closed,719,688,647,661,610,628,Deploy staff to Food Court,Low,FoodCourtRush,Simulated
E139,2025-09-19T19:30:00Z,208,2405,Open,Closed,Open,Closed,533,435,474,445,504,444,Deploy staff to Food Court,Low,FoodCourtRush,Simulated
E140,2025-09-19T19:14:00Z,84,1020,Closed,Closed,Closed,Open,214,179,161,188,190,194,Deploy staff to Food Court,Low,FoodCourtRush,Simulated
E141,2025-09-19T18:31:00Z,579,4817,Closed,Closed,Closed,Closed,892,964,878,955,1087,907,Deploy staff to Food Court,Low,HalfTimeExit,Simulated
E142,2025-09-19T23:35:00Z,463,4780,Closed,Open,Closed,Closed,914,935,1006,962,1029,973,Deploy staff to Food Court,Low,EntryRush,Simulated
E143,2025-09-19T21:20:00Z,70,1455,Closed,Open,Closed,Open,332,306,229,305,314,218,Deploy staff to Food Court,Low,EntryRush,Simulated
E144,2025-09-19T22:32:00Z,392,4255,Open,Open,Open,Closed,865,890,786,824,822,884,Deploy staff to Food Court,Low,HalfTimeExit,Simulated
E145,2025-09-19T23:15:00Z,186,1991,Closed,Open,Open,Closed,456,421,479,486,410,463,Deploy staff to Food Court,Low,ExitFlow,Simulated
E146,2025-09-19T22:24:00Z,247,2475,Closed,Open,Closed,Closed,490,386,542,574,502,434,Deploy staff to Food Court,Low,HalfTimeExit,Simulated
E147,2025-09-19T18:23:00Z,225,2658,Closed,Open,Open,Closed,538,591,560,556,482,464,Deploy staff to Food Court,Low,EmergencyEvacuation,Simulated
E148,2025-09-19T20:38:00Z,263,3132,Open,Closed,Open,Closed,595,622,752,595,734,649,Deploy staff to Food Court,Low,NormalFlow,Simulated
E149,2025-09-19T23:15:00Z,548,4896,Closed,Closed,Closed,Open,953,1069,946,960,1048,975,Deploy staff to Food Court,Low,HalfTimeExit,Simulated
E150,2025-09-19T22:52:00Z,80,585,Open,Closed,Closed,Closed,204,111,130,14,117,154,Deploy staff to Food Court,Low,FoodCourtRush,Simulated
E151,2025-09-19T19:20:00Z,178,1032,Closed,Closed,Open,Closed,265,244,263,156,214,89,Deploy staff to Food Court,Low,ExitFlow,Simulated
E152,2025-09-19T23:56:00Z,424,3419,Open,Closed,Open,Closed,695,724,698,700,690,655,Deploy staff to Food Court,Low,EmergencyEvacuation,Simulated
E153,2025-09-19T21:11:00Z,528,4781,Closed,Closed,Closed,Open,956,846,857,963,962,1029,Deploy staff to Food Court,Low,FoodCourtRush,Simulated
E154,2025-09-19T18:51:00Z,393,3734,Open,Closed,Closed,Open,760,738,727,765,684,799,Deploy staff to Food Court,Low,FoodCourtRush,Simulated
E155,2025-09-19T22:16:00Z,142,2416,Open,Closed,Open,Open,509,484,463,617,510,512,Deploy staff to Food Court,Low,EmergencyEvacuation,Simulated
E156,2025-09-19T23:52:00Z,180,1279,Closed,Closed,Closed,Open,248,302,216,242,314,311,Deploy staff to Food Court,Low,ExitFlow,Simulated
E157,2025-09-19T20:17:00Z,150,1930,Closed,Closed,Open,Closed,378,310,440,396,462,445,Deploy staff to Food Court,Low,HalfTimeExit,Simulated
E158,2025-09-19T18:17:00Z,408,3518,Closed,Open,Open,Open,626,736,657,696,844,618,Deploy staff to Food Court,Low,FoodCourtRush,Simulated
E159,2025-09-19T22:29:00Z,129,1627,Open,Open,Closed,Open,283,272,360,383,315,283,Deploy staff to Food Court,Low,EntryRush,Simulated
E160,2025-09-19T22:42:00Z,362,3307,Closed,Open,Closed,Closed,572,709,730,581,688,679,Deploy staff to Food Court,Low,EntryRush,Simulated
E161,2025-09-19T18:32:00Z,50,903,Open,Closed,Closed,Closed,136,234,235,159,245,147,Deploy staff to Food Court,Low,HalfTimeExit,Simulated
E162,2025-09-19T22:31:00Z,220,2094,Closed,Closed,Closed,Open,397,426,429,313,414,371,Deploy staff to Food Court,Low,FoodCourtRush,Simulated
E163,2025-09-19T23:06:00Z,471,4072,Open,Open,Open,Open,730,738,805,745,800,749,Deploy staff to Food Court,Low,FoodCourtRush,Simulated
E164,2025-09-19T18:14:00Z,130,1262,Open,Closed,Open,Closed,244,276,291,307,293,220,Deploy staff to Food Court,Low,EntryRush,Simulated
E165,2025-09-19T23:04:00Z,354,2747,Closed,Open,Closed,Closed,649,599,487,565,598,594,Deploy staff to Food Court,Low,FoodCourtRush,Simulated
E166,2025-09-19T23:25:00Z,259,3177,Closed,Open,Open,Closed,591,677,639,656,646,628,Deploy staff to Food Court,Low,NormalFlow,Simulated
E167,2025-09-19T23:17:00Z,90,919,Closed,Open,Closed,Open,147,160,126,183,189,148,Deploy staff to Food Court,Low,HalfTimeExit,Simulated
E168,2025-09-19T22:02:00Z,464,4150,Open,Closed,Closed,Closed,844,833,809,812,824,796,Deploy staff to Food Court,Low,NormalFlow,Simulated
E169,2025-09-19T23:12:00Z,480,3955,Closed,Closed,Closed,Closed,761,797,762,792,749,831,Deploy staff to Food Court,Low,ExitFlow,Simulated
E170,2025-09-19T19:24:00Z,444,4352,Closed,Closed,Closed,Closed,918,845,877,821,843,927,Deploy staff to Food Court,Low,EntryRush,Simulated
E171,2025-09-19T20:33:00Z,469,4479,Closed,Open,Open,Closed,934,940,839,858,920,972,Deploy staff to Food Court,Low,FoodCourtRush,Simulated
E172,2025-09-19T22:34:00Z,384,4053,Closed,Closed,Closed,Closed,858,743,847,827,657,875,Deploy staff to Food Court,Low,ExitFlow,Simulated
E173,2025-09-19T19:41:00Z,279,2608,Open,Open,Closed,Open,477,453,508,605,545,473,Deploy staff to Food Court,Low,FoodCourtRush,Simulated
E174,2025-09-19T21:10:00Z,79,655,Open,Open,Open,Open,69,56,147,140,119,62,Monitor flow,Low,NormalFlow,Simulated
E175,2025-09-19T23:06:00Z,179,2503,Open,Open,Closed,Closed,506,562,546,493,502,461,Deploy staff to Food Court,Low,EntryRush,Simulated
E176,2025-09-19T20:46:00Z,276,2282,Closed,Open,Closed,Closed,500,464,362,350,460,422,Deploy staff to Food Court,Low,NormalFlow,Simulated
E177,2025-09-19T22:27:00Z,456,4770,Open,Open,Closed,Open,984,886,937,896,919,944,Deploy staff to Food Court,Low,NormalFlow,Simulated
E178,2025-09-19T19:38:00Z,379,3866,Open,Closed,Open,Closed,780,815,767,766,796,834,Deploy staff to Food Court,Low,FoodCourtRush,Simulated
E179,2025-09-19T23:11:00Z,147,1077,Open,Open,Open,Closed,252,269,248,148,116,172,Deploy staff to Food Court,Low,FoodCourtRush,Simulated
