event_id,time,scenario_phase,weather_condition,crowd_outside,transport_arrival_next_10min,crowd_growth_rate,gate_a_queue,gate_b_queue,gate_c_queue,gate_d_queue,gate_a_status,gate_b_status,gate_c_status,gate_d_status,section_a,section_b,section_c,section_d,food_court,toilet,facility_demand_forecast,parking_occupancy_percent,emergency_status,staff_security,staff_food,staff_medical,vip_early_entry,risk_level,predicted_risk_next_15min,bottleneck_prediction,recommended_action
E002_T27,11:10:00Z,event_active,Cloudy,0,0,0.0,0,0,0,0,Closed,Closed,Closed,Closed,118,118,118,118,25,15,Medium_Facility_Demand,80,Normal,5,3,2,False,Low,Low,No_Bottleneck,normal_operations
E002_T28,11:15:00Z,event_active,Heavy_Rain,0,0,0.0,0,0,0,0,Closed,Closed,Closed,Closed,118,118,118,118,29,6,Medium_Facility_Demand,9,Normal,5,3,2,False,Low,Low,No_Bottleneck,normal_operations
E002_T29,11:20:00Z,event_active,Clear,0,0,0.0,0,0,0,0,Closed,Closed,Closed,Closed,118,118,118,118,48,13,Medium_Facility_Demand,43,Normal,5,3,2,False,Low,Low,No_Bottleneck,normal_operations
E002_T30,11:25:00Z,event_active,Cloudy,0,0,0.0,0,0,0,0,Closed,Closed,Closed,Closed,118,118,118,118,8,12,Medium_Facility_Demand,62,Normal,5,3,2,False,Low,Low,No_Bottleneck,normal_operations
E002_T31,11:30:00Z,event_end,Heavy_Rain,0,0,0.0,0,0,0,0,Closed,Closed,Closed,Closed,118,118,118,118,4,20,Medium_Facility_Demand,58,Normal,5,3,2,False,Low,Low,No_Bottleneck,normal_operations
E002_T32,11:35:00Z,exit_start,Light_Rain,0,73,0.0,69,0,0,0,Open,Closed,Closed,Closed,101,101,101,101,10,33,Medium_Facility_Demand,54,Normal,5,3,2,False,Low,Medium,No_Bottleneck,open_more_exits
E002_T33,11:40:00Z,exit_rush,Heavy_Rain,0,58,0.0,43,46,84,96,Open,Open,Open,Open,51,51,51,51,19,47,Low_Facility_Demand,8,Normal,5,3,2,False,Low,High,No_Bottleneck,balanced_exit
E002_T34,11:45:00Z,exit_rush,Heavy_Rain,0,44,0.0,87,83,63,96,Open,Open,Open,Open,36,36,36,36,20,31,Low_Facility_Demand,47,Normal,5,3,2,False,Low,High,No_Bottleneck,balanced_exit
E002_T35,11:50:00Z,exit_rush,Light_Rain,0,68,0.0,35,91,66,37,Open,Open,Open,Open,61,61,61,61,4,46,Low_Facility_Demand,6,Normal,5,3,2,False,Low,High,No_Bottleneck,balanced_exit
E002_T36,11:55:00Z,exit_complete,Cloudy,0,48,0.0,100,73,45,78,Open,Open,Open,Open,44,44,44,44,52,1,Low_Facility_Demand,22,Normal,5,3,2,False,Low,High,No_Bottleneck,balanced_exit
E002_T37,12:00:00Z,exit_complete,Light_Rain,0,73,0.0,65,47,83,96,Open,Open,Open,Open,46,46,46,46,35,20,Low_Facility_Demand,81,Normal,5,3,2,False,Low,High,No_Bottleneck,balanced_exit
E002_T38,12:05:00Z,exit_complete,Heavy_Rain,0,65,0.0,27,71,77,37,Open,Open,Open,Open,65,65,65,65,35,35,Low_Facility_Demand,29,Normal,5,3,2,False,Low,Medium,No_Bottleneck,balanced_exit
E003_T01,09:00:00Z,pre_event,Cloudy,12,0,0.0,0,0,0,0,Closed,Closed,Closed,Closed,0,0,0,0,8,7,Low_Facility_Demand,84,Normal,5,3,2,False,Low,Low,No_Bottleneck,monitor_only
E003_T02,09:15:00Z,pre_event,Clear,24,0,105.0,0,0,0,0,Closed,Closed,Closed,Closed,0,0,0,0,2,4,Low_Facility_Demand,83,Normal,5,3,2,False,Low,Low,No_Bottleneck,monitor_only
E003_T03,09:30:00Z,pre_event,Clear,36,98,53.8,0,0,0,0,Closed,Closed,Closed,Closed,0,0,0,0,14,10,Low_Facility_Demand,80,Normal,5,3,2,False,Medium,Low,No_Bottleneck,prepare_gates
E003_T04,09:45:00Z,pre_event,Light_Rain,49,144,36.7,0,0,0,0,Closed,Closed,Closed,Closed,0,0,0,0,5,11,Low_Facility_Demand,85,Normal,5,3,2,False,Medium,Low,No_Bottleneck,prepare_gates
E003_T05,09:20:00Z,entry_start,Cloudy,73,121,49.0,145,0,0,0,Open,Closed,Closed,Closed,145,145,145,145,14,2,Medium_Facility_Demand,30,Normal,7,3,3,False,High,High,No_Bottleneck,open_gate_c
E003_T06,09:25:00Z,entry_start,Cloudy,23,139,-68.5,132,0,0,0,Open,Closed,Closed,Closed,132,132,132,132,5,0,Medium_Facility_Demand,36,Normal,7,3,3,False,High,High,No_Bottleneck,open_gate_c
E003_T07,09:30:00Z,entry_start,Clear,0,86,-100.0,44,86,0,0,Open,Open,Closed,Closed,44,130,130,130,2,7,Medium_Facility_Demand,58,Normal,7,3,3,False,High,High,No_Bottleneck,open_gate_c
E003_T08,09:35:00Z,entry_start,Clear,0,99,0.0,46,51,0,0,Open,Open,Closed,Closed,46,97,97,97,7,12,Medium_Facility_Demand,8,Normal,7,3,3,False,High,Medium,No_Bottleneck,balanced_flow
E003_T09,09:40:00Z,entry_rush,Light_Rain,0,88,0.0,78,24,40,42,Open,Open,Open,Open,78,102,142,184,4,12,Medium_Facility_Demand,76,Normal,7,3,3,False,High,Medium,No_Bottleneck,open_gate_c
E003_T10,09:45:00Z,entry_rush,Cloudy,0,89,0.0,22,65,23,26,Open,Open,Open,Open,22,87,110,136,4,12,Medium_Facility_Demand,77,Normal,7,3,3,False,High,Medium,No_Bottleneck,open_gate_c
E003_T11,09:50:00Z,entry_rush,Light_Rain,0,112,0.0,48,23,60,68,Open,Open,Open,Open,48,71,131,199,12,3,Medium_Facility_Demand,76,Normal,7,3,3,False,High,Medium,No_Bottleneck,open_gate_c
E003_T12,09:55:00Z,entry_rush,Light_Rain,0,105,0.0,26,53,20,34,Open,Open,Open,Open,26,79,99,133,5,6,Medium_Facility_Demand,41,Normal,7,3,3,False,High,Medium,No_Bottleneck,balanced_flow
E003_T13,10:00:00Z,entry_complete,Cloudy,0,0,0.0,0,0,0,0,Closed,Closed,Closed,Closed,30,30,30,30,13,6,Medium_Facility_Demand,45,Normal,5,3,2,False,Low,Low,No_Bottleneck,balanced_flow
E003_T14,10:05:00Z,event_active,Light_Rain,0,0,0.0,0,0,0,0,Closed,Closed,Closed,Closed,30,30,30,30,9,3,Medium_Facility_Demand,81,Normal,5,3,2,False,Low,Low,No_Bottleneck,normal_operations
E003_T15,10:10:00Z,event_active,Cloudy,0,0,0.0,0,0,0,0,Closed,Closed,Closed,Closed,30,30,30,30,1,7,Medium_Facility_Demand,34,Normal,5,3,2,False,Low,Low,No_Bottleneck,normal_operations
E003_T16,10:15:00Z,event_active,Clear,0,0,0.0,0,0,0,0,Closed,Closed,Closed,Closed,30,30,30,30,1,2,Medium_Facility_Demand,9,Normal,5,3,2,False,Low,Low,No_Bottleneck,normal_operations
E003_T17,10:20:00Z,event_active,Cloudy,0,0,0.0,0,0,0,0,Closed,Closed,Closed,Closed,30,30,30,30,8,0,Medium_Facility_Demand,33,Normal,5,3,2,False,Low,Low,No_Bottleneck,normal_operations
E003_T18,10:25:00Z,event_active,Heavy_Rain,0,0,0.0,0,0,0,0,Closed,Closed,Closed,Closed,30,30,30,30,0,5,Medium_Facility_Demand,30,Normal,5,3,2,False,Low,Low,No_Bottleneck,normal_operations
E003_T19,10:30:00Z,event_active,Heavy_Rain,0,0,0.0,0,0,0,0,Closed,Closed,Closed,Closed,30,30,30,30,10,8,Medium_Facility_Demand,17,Normal,5,3,2,False,Low,Low,No_Bottleneck,normal_operations
E003_T20,10:35:00Z,event_active,Light_Rain,0,0,0.0,0,0,0,0,Closed,Closed,Closed,Closed,30,30,30,30,11,0,Medium_Facility_Demand,60,Normal,5,3,2,False,Low,Low,No_Bottleneck,normal_operations
E003_T21,10:40:00Z,event_active,Cloudy,0,0,0.0,0,0,0,0,Closed,Closed,Closed,Closed,30,30,30,30,4,4,Medium_Facility_Demand,29,Normal,5,3,2,False,Low,Low,No_Bottleneck,normal_operations
E003_T22,10:45:00Z,halftime_prep,Light_Rain,0,0,0.0,0,0,0,0,Closed,Closed,Closed,Closed,41,36,27,36,36,20,High_Food_Demand,38,Normal,5,6,2,False,Low,Low,No_Bottleneck,normal_operations
E003_T23,10:50:00Z,halftime_exit,Cloudy,38,0,3800.0,0,0,0,0,Closed,Closed,Closed,Closed,34,30,24,28,46,23,Critical_Food_Demand,84,Normal,5,6,2,False,Low,Low,Food_Court_Bottleneck,manage_food_queue
E003_T24,10:55:00Z,halftime_peak,Clear,0,0,-100.0,0,0,0,0,Closed,Closed,Closed,Closed,21,30,38,24,5,10,Medium_Facility_Demand,69,Normal,5,6,2,False,Medium,Low,No_Bottleneck,normal_operations
E003_T25,11:00:00Z,halftime_return,Light_Rain,0,0,0.0,0,0,0,0,Closed,Closed,Closed,Closed,38,27,38,27,46,40,Critical_Food_Demand,32,Normal,5,6,2,False,Low,Low,Food_Court_Bottleneck,manage_food_queue
E003_T26,11:05:00Z,halftime_return,Heavy_Rain,0,0,0.0,0,0,0,0,Closed,Closed,Closed,Closed,21,22,27,32,32,21,High_Food_Demand,17,Normal,5,6,2,False,Low,Low,No_Bottleneck,normal_operations
E003_T27,11:10:00Z,event_active,Cloudy,0,0,0.0,0,0,0,0,Closed,Closed,Closed,Closed,30,30,30,30,10,2,Medium_Facility_Demand,24,Normal,5,3,2,False,Low,Low,No_Bottleneck,normal_operations
E003_T28,11:15:00Z,event_active,Cloudy,0,0,0.0,0,0,0,0,Closed,Closed,Closed,Closed,30,30,30,30,9,5,Medium_Facility_Demand,39,Normal,5,3,2,False,Low,Low,No_Bottleneck,normal_operations
E003_T29,11:20:00Z,event_active,Cloudy,0,0,0.0,0,0,0,0,Closed,Closed,Closed,Closed,30,30,30,30,0,4,Medium_Facility_Demand,80,Normal,5,3,2,False,Low,Low,No_Bottleneck,normal_operations
E003_T30,11:25:00Z,event_active,Clear,0,0,0.0,0,0,0,0,Closed,Closed,Closed,Closed,30,30,30,30,5,8,Medium_Facility_Demand,27,Normal,5,3,2,False,Low,Low,No_Bottleneck,normal_operations
E003_T31,11:30:00Z,event_end,Heavy_Rain,0,0,0.0,0,0,0,0,Closed,Closed,Closed,Closed,30,30,30,30,8,4,Medium_Facility_Demand,12,Normal,5,3,2,False,Low,Low,No_Bottleneck,normal_operations
E003_T32,11:35:00Z,exit_start,Cloudy,0,62,0.0,68,0,0,0,Open,Closed,Closed,Closed,13,13,13,13,12,7,Low_Facility_Demand,85,Normal,5,3,2,False,Low,Medium,No_Bottleneck,open_more_exits
E003_T33,11:40:00Z,exit_rush,Light_Rain,0,57,0.0,59,87,36,64,Open,Open,Open,Open,0,0,0,0,0,11,Low_Facility_Demand,65,Normal,5,3,2,False,Low,High,No_Bottleneck,balanced_exit
E003_T34,11:45:00Z,exit_rush,Clear,0,48,0.0,94,84,34,20,Open,Open,Open,Open,0,0,0,0,12,2,Low_Facility_Demand,25,Normal,5,3,2,False,Low,High,No_Bottleneck,balanced_exit
E003_T35,11:50:00Z,exit_rush,Clear,0,67,0.0,35,80,27,49,Open,Open,Open,Open,0,0,0,0,5,8,Low_Facility_Demand,49,Normal,5,3,2,False,Low,Medium,No_Bottleneck,balanced_exit
E003_T36,11:55:00Z,exit_complete,Light_Rain,0,68,0.0,65,69,39,23,Open,Open,Open,Open,0,0,0,0,5,12,Low_Facility_Demand,56,Normal,5,3,2,False,Low,Medium,No_Bottleneck,balanced_exit
E003_T37,12:00:00Z,exit_complete,Light_Rain,0,42,0.0,88,44,80,89,Open,Open,Open,Open,0,0,0,0,0,12,Low_Facility_Demand,63,Normal,5,3,2,False,Low,High,No_Bottleneck,balanced_exit
E003_T38,12:05:00Z,exit_complete,Light_Rain,0,59,0.0,39,53,55,30,Open,Open,Open,Open,0,0,0,0,0,9,Low_Facility_Demand,40,Normal,5,3,2,False,Low,Medium,No_Bottleneck,balanced_exit
E004_T01,09:00:00Z,pre_event,Heavy_Rain,52,0,0.0,0,0,0,0,Closed,Closed,Closed,Closed,0,0,0,0,14,22,Low_Facility_Demand,18,Normal,5,3,2,False,Low,Low,No_Bottleneck,monitor_only
E004_T02,09:15:00Z,pre_event,Light_Rain,105,0,101.9,0,0,0,0,Closed,Closed,Closed,Closed,0,0,0,0,8,14,Low_Facility_Demand,54,Normal,5,3,2,False,Low,Low,No_Bottleneck,monitor_only
